CHO,STAR,TOTSUG,FREE_SUGAR,ADDED_SUGAR,GLUC,FRUCT,SUCR,MALT,LACT,GALACT,OLIGO,PROT,FAT,KCALS,KJ,ALCO,WATER,AOACFIB,ENGFIB,SATFAC,MONOFACc,POLYFACc,TOTn3PFAC,TOTn6PFAC,FACTRANS,MG,ZN,MN,FE,SE,VITD,CAFF,totalVeg,totalFruit,starch_fraction,sugar_fraction,free_sugar_fraction,rapid_glucose_equiv,intrinsic_sugar,fat_cho_ratio,protein_cho_ratio,fibre_cho_ratio,fat_sugar_ratio,protein_sugar_ratio,glycaemic_brake,n6_n3_ratio,baseline_glucose_mmol,past_4h_glucose_trend,past_1h_glucose_mean,past_1h_glucose_sd,past_1h_glucose_range,mean_glucose_24h,sd_glucose_24h,cv_glucose_24h,mage_24h,conga1_24h,conga2_24h,modd_24h,glucose_at_t_minus_15,glucose_at_t_minus_30,past_3h_kcal,past_3h_cho,past_3h_sugar,past_3h_fat,past_3h_prot,time_since_last_meal_min,time_since_last_sig_meal_min,hour_of_day,is_breakfast,is_lunch,is_dinner,is_snack,sex,n_total_meals,n_days_tracked,mean_daily_kcal,mean_daily_cho,cho_x_baseline_glucose,cho_x_mage,cho_x_time_since_last_meal,cho_x_fibre,cho_x_fat,cho_x_protein,cho_x_hour_of_day,glucose_trend_x_hour_of_day,mage_x_baseline_glucose,cv_x_hour_of_day
-0.6013177,0.45101684,1.7859849,0.41067517,-1.6301247,0.085247435,-0.6129708,-2.587374,1.4207021,3.043775,-0.014723303,0.3488094,-2.0413082,0.09948999,-0.9667587,-1.5421002,-0.016390556,0.29075426,5.9754496,0.12511161,6.359536,-0.09732209,-2.9264853,0.98608804,-0.26576,0.85637426,0.17405072,0.7765725,0.5027596,-1.1336609,1.396883,-0.015402045,0.30418718,-0.09950012,-0.0031468198,0.26193827,0.5149169,1.8184493,-1.0973682,3.3485477,-0.91136634,-0.68447286,3.5641124,0.26257804,0.62803596,-0.8446598,1.2360601,1.1203803,-8.952832,1.5134058,13.971997,2.8224554,-8.164387,0.30911103,-0.65142006,-1.3198472,0.9103025,-0.9331861,6.8299985,1.529554,0.60311204,0.27400768,0.04504569,0.23487443,-0.46265718,0.19110307,0.6719988,-1.8246713,0.7601761,-0.10866601,0.118620545,-0.35207778,-0.010777724,1.2290357,6.6262956,-2.2463915,15.158475,13.034647,-2.7158785,0.5936041,-0.1775489,0.035525423,0.4901113,-0.23487273,3.532068,-4.17167,-0.046396412,1.7796557
0.16857769,0.22655332,-0.14022857,-0.08479704,-0.25096896,1.0622958,0.86011565,2.2691534,0.011210426,-0.38379678,-0.1311875,0.0063924855,-2.313657,0.9057302,0.6736661,-0.9981878,-0.017253118,-2.118983,-0.24383335,0.16748632,-1.6761235,2.2349596,4.249574,0.2749856,-0.77878433,1.1124201,0.5706278,-0.7192567,-0.27087334,-3.090219,1.1777334,-0.08843574,-0.1973712,0.45327437,-0.24038123,2.4028716,0.6195482,0.03107202,0.8224136,-0.13001178,1.506563,-3.4296114,1.8088173,0.32184923,0.14755434,-3.6372778,0.8223025,12.84125,2.3995824,1.3801867,-2.7551181,-3.989595,-7.069264,1.1288854,0.4309096,-3.3041737,0.3040664,-3.1016707,1.8202909,0.869937,0.92938775,0.09005792,-0.25037694,0.2964783,-0.53977215,0.2734653,-1.45664,-1.5875655,0.7932344,-0.060085442,0.44630027,-0.6906273,0.04334963,0.105447896,9.111907,-0.39152393,9.467269,17.52178,1.3725255,-1.7088418,0.24564189,0.72444135,-1.512601,0.897569,-0.77350694,4.1858315,5.8101587,0.5423286
0.11099669,-0.26933587,1.109712,0.3761631,0.9625888,0.17476785,2.1612968,0.96058124,-0.7968524,-0.14083588,-0.29666185,-0.1837687,1.6490183,-0.6971444,-0.07932215,0.22018449,-0.007177158,-0.15167299,0.9294775,1.1904113,4.8906417,-0.1762092,-1.4005467,0.9185475,0.26593292,-1.0019575,5.867296,0.31616828,3.254713,1.0959765,-2.2151043,0.17771707,-0.09083473,0.38165358,-0.19703323,0.3068584,-0.50515944,-0.04808593,2.4842563,5.4273562,0.5237136,5.2790937,0.48232645,-0.7634792,1.0164042,1.4959495,-0.014092645,1.6260695,-1.0820159,-1.391802,-1.1740891,0.774013,6.771093,0.5888184,2.8157601,6.735652,3.0340483,-1.284325,-0.10253115,-2.8187716,1.4652845,0.095241666,-0.7830327,-0.18522263,-0.60422075,0.7665065,-0.6695044,-1.9380882,-0.1860212,-0.10635598,-0.12592916,-0.22408144,0.10775157,0.22609401,5.502766,0.6975734,-0.6337383,-0.30205607,0.9461971,1.501499,0.69577605,0.7674428,-1.343659,0.86073786,0.6726021,2.7524393,-0.7233424,4.219563
0.02726484,-0.42728886,0.8042626,-0.14444096,0.15726085,0.03710467,1.0828961,-0.48846024,-1.4401089,-1.6115783,-0.20026878,-1.1611766,3.7938342,-0.35383904,0.02457829,0.08645974,-0.0123815015,-0.6958454,-0.9779788,0.21205515,0.5205537,-0.5246626,-2.8181756,0.9180997,0.651418,0.48092568,-0.6835097,0.8276106,-4.472892,1.8267041,0.34627426,0.15971266,-0.31155354,0.37018642,-0.26870888,-0.92770946,0.09834704,-0.039525624,0.6979322,-0.996457,-0.4329765,-1.4773296,0.7646791,0.114057906,-1.0309309,-2.6078143,-0.086105265,-6.352993,-7.3839855,-1.4694365,-2.762182,-4.019592,-1.3183866,-0.90016127,1.5522419,-2.4736767,-3.3102188,0.34573117,0.9968479,-0.7242442,-0.20540756,-0.39845955,-0.38759342,-1.2414771,0.54534346,0.104980215,1.8347986,0.3059206,-0.20693,-0.13314126,0.24512604,-0.19761254,-0.0054479362,0.28521952,3.366283,0.53543544,-1.0112741,-0.9554632,1.1201506,-0.09444631,-1.0741981,0.29558864,-0.6105963,0.5694651,-0.38253713,-2.335368,-1.113239,0.7243054
0.36466172,1.0540174,0.3009657,-0.18636309,0.2847233,-0.9106696,-0.7182041,0.6823231,0.045740485,0.019849006,-0.16837546,-2.2454076,-1.4498779,-0.66395843,0.49228442,-0.19465908,-0.030636566,0.20078048,1.2057207,-0.1954638,0.4772782,-0.44155666,-1.990258,0.26158315,0.5153753,0.19235454,1.8430597,-0.12685592,0.13163331,-1.6764121,0.40233728,-0.40804523,-0.23031035,0.2262066,-0.5026838,0.34243342,0.28294003,-0.068835065,-0.47030815,-2.7264738,-0.1173874,-3.5446026,1.0689806,-0.062599376,0.3961129,-3.346355,-0.4189977,-3.3398483,-2.3985023,-2.8615444,-2.2458706,-1.9513332,2.7256775,2.0500748,0.7456399,-4.4354987,-0.39000854,9.121176,-1.5490968,-0.02980043,0.08174559,-0.010550944,-0.16726121,-0.10864825,-0.7430201,0.16983898,0.051035978,-1.3195667,1.4286547,-0.12204017,-0.0605663,0.48969108,-0.05676438,-0.335203,4.305875,0.040831774,-1.1039431,0.5946762,-0.2652221,0.0064195436,-1.1888647,-0.19152063,-0.563281,0.46784922,0.009069376,-1.1348593,-0.099236466,-0.68990815
-0.46234915,-1.5790062,0.6512066,-0.15439603,0.078857705,-0.03848157,-1.3124082,0.3017066,-0.023985712,-0.5741147,-0.30499518,-1.8004491,-1.7022656,-1.0568027,-1.5341599,-0.16291752,-0.017740538,-1.7247722,4.995782,-0.19866127,-0.13976036,-0.11791277,-3.9525132,0.42486542,0.27999452,-1.2927672,-4.7670307,-1.8020967,0.46814054,-0.8637133,0.3991004,0.13164912,-0.24015692,0.16395088,-0.24950063,0.06960855,-0.30056518,-0.2819163,-0.97655976,-2.046504,-1.5635915,-1.861625,1.7941538,1.084734,-1.3303007,-2.700442,-0.1698855,-32.796497,-9.34029,-0.40448645,-2.5186155,-3.8123622,-4.2667003,0.62006366,0.5297169,-2.5212429,-0.7920259,-1.5853693,-0.6341814,1.8222786,2.842542,0.25049135,0.012345304,0.14151955,-0.56750846,0.3257226,-1.7284681,0.23148438,2.7869287,-0.07820232,0.57749355,0.46021736,-0.02983166,-0.08394433,2.6273556,0.16506016,-0.26231438,0.891383,-2.9234815,0.27483788,0.13521798,0.39476705,-0.46018684,-0.7406608,2.2519383,-7.027344,-0.11494144,-0.985151
1.346182,-1.1947782,0.60468227,0.20767203,-0.2907736,-0.75259405,-0.8004354,-0.11582625,-1.4288878,-0.54030925,-0.057600535,-0.14299951,0.36322615,-1.2781122,-0.24424289,0.15358791,-0.021882227,-1.0873644,0.119760066,0.86241215,0.41696823,-0.20101339,-1.0907506,0.94067466,0.06895964,-0.63786244,1.2266641,0.64975536,-0.19824083,0.28074571,-1.6813569,-0.14616776,-0.44058228,-0.16972303,-0.16433583,0.11396048,-7.0954304,-1.81121,0.6404036,-1.4764438,-0.06848772,4.75095,-0.05239442,0.032377534,0.94301474,4.1389413,-0.050163336,-20.951796,6.1681585,-1.2054632,0.5871242,-2.6178756,-0.17525087,0.16832823,-0.655351,-3.0273077,1.6937481,-4.5557446,0.64665973,-0.33758458,-1.7212416,-1.0818894,2.7768877,1.4616708,0.44051307,-2.8296726,-2.088536,1.9965038,0.8825304,-0.061884798,-0.12098635,-0.13708857,0.026686095,0.108892195,8.578043,-0.11893872,-0.5578127,-0.3110146,0.38855943,-2.2621386,-1.9594508,-0.35363403,-0.82779473,-0.8587964,-3.0498645,1.5878873,1.1361862,0.20294903
-0.109447114,-0.18224934,0.57403845,-0.1982512,0.16126071,0.3857965,-0.33976337,1.394349,-1.1438897,-0.29098997,-0.3984611,0.022258053,4.781242,0.3749333,0.41085994,-0.027340915,-0.024889449,-0.60999125,-0.4803531,0.29762968,-0.7415061,-0.44645467,-2.1623554,1.2063465,-0.18284886,-1.2504635,0.43839884,0.40537393,3.1650147,-1.3954947,3.7904315,1.1530391,-0.5750241,0.12115968,0.58567744,-0.18780166,0.34884232,-0.13611467,-0.4505283,2.0493715,-0.32477015,3.4094207,-1.0961571,0.5836976,0.9739286,1.8701471,0.06684072,-34.751118,-10.9449835,-0.02049495,-1.0173545,-4.1909523,2.7845898,1.4314272,0.8274325,-1.1387501,0.08181113,-0.83234406,1.0900187,0.59982014,0.96665376,-0.11719318,-0.59764683,2.0678196,-0.34922853,0.67855054,-0.045110434,-2.0024714,-0.8028708,0.123986654,-0.11045689,-0.09320892,-0.007696344,0.17896265,5.9758224,0.78002894,-0.49707538,0.16421898,0.32474667,-2.3632903,-1.2838414,0.4193093,3.689369,-0.094466895,-1.8682545,-4.7835636,-0.61049235,0.2554094
0.19438668,0.6958006,-0.40492117,-0.015571914,0.4666021,-1.260475,-1.5342937,1.2003038,0.99948585,-0.53883415,-0.42345187,-0.53330135,-1.844079,-0.25630072,0.5090992,-0.2155445,-0.04005024,-1.0200673,0.016963743,-0.32467872,-0.7776047,-0.18848829,-1.2201098,1.6152605,-0.61130303,-4.23151,-1.1290495,-0.32539728,0.23136489,-1.6231486,0.13867614,-0.5282164,-0.28039682,-0.4061173,-0.31594223,2.0749106,-0.054090515,0.3946428,0.43352008,-0.08016108,-1.3062718,-0.821501,2.659606,-0.8249807,-0.18344301,-2.6750526,-0.17083786,-7.9846506,-9.128232,2.7961628,-0.3534744,14.936913,6.1635814,1.1025177,1.0636963,-0.75542045,2.2048845,4.674365,-2.2658412,3.3383265,1.015519,-0.50375855,0.956316,-0.51686627,1.8069186,-0.010355099,-0.035423193,1.598882,-1.8624799,-0.09879495,0.6520951,-0.096841455,-0.13074611,0.11257184,3.3491514,0.21044846,-0.4829028,0.49666622,-0.14154422,0.5296387,3.0889604,0.29200265,-1.1215234,-0.2662365,-1.3251534,-4.3443217,1.2553774,-0.6534221
0.23805732,-0.6088463,-1.1561543,-1.2772971,-3.794378,-1.3550667,0.16302468,-1.3018235,-2.15221,0.763954,0.2843887,-0.6276365,0.47712857,-0.10912853,-0.039202638,-0.17700098,-0.018312652,-1.1304355,-0.5474474,-1.2158298,-2.8581367,-0.341289,-0.96391207,-1.7593484,-0.16286662,0.22513631,0.011371574,0.2591588,2.1828294,-1.2315096,-0.48058456,-0.07227794,-0.78670967,0.1964532,0.12378255,-1.6795013,-1.5843408,1.4073211,-0.46065304,-0.41136047,-1.452545,2.7937088,-1.1914501,-1.529873,-0.3526448,1.9652802,-0.1503751,6.666845,-4.316362,-1.7141681,-1.3984098,-6.154669,6.6385884,0.84006906,-0.47565153,-2.6667905,1.7244653,13.174467,-0.45321062,0.28908625,-2.4932415,0.104787946,-1.0900351,-0.84964573,-1.4910543,0.41358453,-1.5297883,-2.833343,-0.424753,-0.036299825,-0.2289946,0.90197736,0.115076765,0.10524809,4.853671,-1.4682724,-2.0822427,-2.3120692,-0.22499985,-3.985178,-1.8557838,-3.7951612,-1.459381,-0.46739763,-0.32838833,1.0246363,-1.4084517,-0.3854401
